0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
종교,신이,가정,인간관계,파탄,신천지,댓가,신천지,학교,자퇴,가출,연락,이젠,포교,연락,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신천지,단체,소름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동기,연락,사이비,약장수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사문,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종교,안됨,기독교,진심,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선교,독실,상대방,수입,십일조,뿌리,일욜,예배,가야,고집,스트레스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교지,종교,하나쯤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신이,전광,지옥,예약,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사교,자기,지인,사진,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
집단,이기적,일수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이기적,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남녀,싸움,금지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방탄,사이비,신도,극성,부끄러움,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신도,연예인,찬양,아티스트,일반인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조교,조교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사이비,종교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코로나,기독교인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일종,교리,이교도,교리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무논,감성,구경,타과,병신,천지,수가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천지,소름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종교,극단,주의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나이,거짓말,은근,부모,잘못,판단,종교,극단,주의,참사,거지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
슬람,학대,살인,애새끼,종교,떡밥,살길,거지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광신도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
개독,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한쪽,예수,십자가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양의,기운,음의,기운,풍수지리,미개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광신도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조교,유도,증원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
